model,dataset,split,sample_count,valid_count,coverage,accuracy,macro_f1,elapsed_sec,timestamp_utc
gpt-5.2-2025-12-11,intel,test,1000,1000,1.0,0.558,0.5657827919558581,1612.971553167008,2026-03-02T00:10:43.504835+00:00
gpt-5.2-2025-12-11,pubhealth,test,966,966,1.0,0.6387163561076604,0.6155365360682256,2714.590083875024,2026-03-02T00:55:58.126140+00:00
gemini-3-flash-preview,intel,test,1000,1000,1.0,0.575,0.5922127698730126,4590.668234749988,2026-03-02T02:12:28.828781+00:00
gemini-3-flash-preview,pubhealth,test,966,808,0.8364389233954451,0.6806930693069307,0.5993595829027217,4308.234691332997,2026-03-02T03:24:17.081762+00:00
