model,dataset,split,sample_count,valid_count,coverage,accuracy,macro_f1,elapsed_sec,timestamp_utc
google/medgemma-4b-it,intel,test,50,50,1.0,0.6,0.5697422781821759,272.07617004198255,2026-03-01T03:25:01.899930+00:00
google/medgemma-4b-it,pubhealth,test,49,49,1.0,0.673469387755102,0.5833333333333334,207.22405445799814,2026-03-01T03:28:29.136735+00:00
meta-llama/Llama-3.1-8B-Instruct,intel,test,50,50,1.0,0.6,0.5783068783068783,54.507025917002466,2026-03-01T03:29:23.655599+00:00
meta-llama/Llama-3.1-8B-Instruct,pubhealth,test,49,49,1.0,0.4897959183673469,0.4357142857142857,59.07047591698938,2026-03-01T03:30:22.737288+00:00
Qwen/Qwen3-8B,intel,test,50,50,1.0,0.6,0.5621621621621622,638.3054168329982,2026-03-01T03:41:01.057741+00:00
Qwen/Qwen3-8B,pubhealth,test,49,49,1.0,0.40816326530612246,0.384828349944629,736.693462958996,2026-03-01T03:53:17.762319+00:00
google/gemma-3-12b-it,intel,test,50,50,1.0,0.7,0.6950757575757575,116.16199900000356,2026-03-01T03:55:13.935493+00:00
google/gemma-3-12b-it,pubhealth,test,49,49,1.0,0.6326530612244898,0.5965608465608466,56.96871808299329,2026-03-01T03:56:10.914234+00:00
