model,dataset,split,sample_count,valid_count,coverage,accuracy,macro_f1,elapsed_sec,timestamp_utc
meta-llama/Meta-Llama-3.1-8B-Instruct,intel,test,8379,8374,0.9994032700799618,0.5691425841891569,0.5873046129709255,8839.621519916996,2026-02-27T20:52:12.136242+00:00
meta-llama/Meta-Llama-3.1-8B-Instruct,pubhealth,test,1186,1167,0.9839797639123102,0.5467009425878321,0.5029207318162067,1225.132309833003,2026-02-27T21:12:37.305504+00:00
Qwen/Qwen3-8B,intel,test,8379,0,0.0,,,29173.907048,2026-02-28T05:18:51.298482+00:00
Qwen/Qwen3-8B,pubhealth,test,1186,0,0.0,,,3798.2572693330003,2026-02-28T06:22:09.596062+00:00
google/gemma-3-12b-it,intel,test,8379,8379,1.0,0.586108127461511,0.5994169345531642,10295.594771707998,2026-02-28T09:13:45.211967+00:00
google/gemma-3-12b-it,pubhealth,test,1186,1186,1.0,0.6096121416526138,0.5431592756288273,1444.1093717500044,2026-02-28T09:37:49.373802+00:00
